elec_atoll,elec_island,elec_population_2018,elec_production_kwh,elec_capacity_kw,match_quality,match_score,master_island_name,master_atoll,master_pcode,master_pop_2022,human_verified,correct_master_match,notes
SEENU ATOLL,ADDU,17935.0,33076784.25,9850.0,RESOLVED-AGGREGATE,1.0,Hithadhoo,Seenu,MV019002,13759,YES,YES,"AGGREGATE: ADDU = Addu City = all 6 Seenu islands (Hithadhoo+Feydhoo+Maradhoo+Meedhoo+Maradhoofeydhoo+Hulhudhoo). Split production proportional to population. Hithadhoo is primary (largest pop 13,759)."
GAAFU ALIF ATOLL,KON'DEY,220.0,351286.05,248.0,RESOLVED-ADDED,1.0,Kon'dey,Gaafu Alifu,MV016007,272,YES,YES,"Added Kon'dey to islands_master.csv. Pop 272 (Census 2014). Coords 0.4986N 73.5486E. Area 1.51 km2."
RAA ATOLL,UN'GOOFAARU,1503.0,2904845.0,1370.0,RESOLVED-ADDED,1.0,Un'goofaaru,Raa,MV006004,1754,YES,YES,"Added Un'goofaaru to islands_master.csv. Pop 1,754 (Census 2022). Raa atoll capital. Coords 5.6681N 73.0306E. Area 0.35 km2."
RAA ATOLL,AN'GOLHITHEEMU,400.0,349511.0,409.0,RESOLVED-ADDED,1.0,An'golhitheemu,Raa,MV006006,403,YES,YES,"Added An'golhitheemu to islands_master.csv. Pop 403 (Census 2014). Coords 5.7936N 73.0062E. Area 0.34 km2."
NOONU ATOLL,KEN'DHIKULHUDHOO,1331.0,1311141.19,580.0,RESOLVED-ADDED,1.0,Ken'dhikulhudhoo,Noonu,MV004002,1331,YES,YES,"Added Ken'dhikulhudhoo to islands_master.csv. Pop 1,331 (elec data 2018). Coords 5.9194N 73.0500E (GeoHack). Area 0.70 km2 (est)."
NOONU ATOLL,FODHDHOO,228.0,282765.45,148.0,RESOLVED-ADDED,1.0,Fodhdhoo,Noonu,MV004012,345,YES,YES,"Added Fodhdhoo to islands_master.csv. Pop 345 (Census 2022). Coords 5.7439N 73.2161E. Area 0.34 km2."
HAA ALIF ATOLL,HOARAFUSHI,1826.0,2341956.45,1000.0,RESOLVED-ADDED,1.0,Hoarafushi,Haa Alifu,MV001006,3561,YES,YES,"Added Hoarafushi to islands_master.csv. Pop 3,561 (Census 2022). Coords 6.9806N 72.8958E. Area 1.05 km2."
KAAFU ATOLL,VILLIMAL,7790.0,12499400.0,4000.0,HIGH (annotated),0.588,Vilin'gili,Male,MV021002,6755,AUTO-CERTAIN,YES,"Vilimalé / Villingili (Male atoll). Pop 7,790 (2018) → 6,755 (2022). 4 MW capacity, 12.5 GWh. Elec name 'VILLIMAL' is local abbreviation of Vilimalé. CERTAIN match."
KAAFU ATOLL,MAL,127079.0,336961612.0,80320.0,HIGH (annotated),0.75,Maale,Male,MV021001,138637,AUTO-CERTAIN,YES,"Malé city. Elec name truncated. Largest load centre (337 GWh, 80 MW). Pop 127k (2018) → 139k (2022). CERTAIN match."
RAA ATOLL,IN’GURAIDHOO,1223.0,1219439.55,2013.0,HIGH (diff atoll),0.857,Guraidhoo,Kaafu,MV009009,1743,,,
ALIFU ALIFU ATOLL,HIMANDHOO,703.0,897851.0,612.0,HIGH (diff atoll),0.875,Mandhoo,Alifu Dhaalu,MV020005,418,,,
KAAFU ATOLL,HULHUMAL,15769.0,51270714.0,17400.0,HIGH (diff atoll),0.889,Hulhumaale,Male,MV021003,65714,,,
KAAFU ATOLL,HIMMAFUSHI,1308.0,2598215.0,1240.0,HIGH,0.9,Hinmafushi,Kaafu,MV009006,2012,,,
HAA ALIF ATOLL,DHIDHDHOO,2745.0,3932436.15,1508.0,HIGH,0.941,Dhihdhoo,Haa Alifu,MV001010,3412,,,
GAAFU ALIF ATOLL,VILIN’GILI,2900.0,4665592.0,2238.0,HIGH,0.947,Vilin'gili,Gaafu Alifu,MV016002,2900,,,
LAAMU ATOLL,KALHAIDHOO,467.0,814721.96,260.0,HIGH,0.947,Kalaidhoo,Laamu,MV015005,655,,,
NOONU ATOLL,HEN’BADHOO,497.0,510690.85,212.0,HIGH,0.947,Hen'badhoo,Noonu,MV004001,638,,,
MEEMU ATOLL,RAIMANDHOO,113.0,160467.0,113.0,HIGH,0.952,Raiymandhoo,Meemu,MV013001,171,AUTO-HIGH,YES,
LAAMU ATOLL,DHAN’BIDHOO,569.0,621794.42,400.0,HIGH,0.952,Dhan'bidhoo,Laamu,MV015002,606,AUTO-HIGH,YES,
FAAFU ATOLL,DHARAN’ BOODHOO,403.0,316202.0,144.0,HIGH,0.963,Dharan'boodhoo,Faafu,MV011004,455,AUTO-HIGH,YES,
GAAFU ALIF ATOLL,KAN’DUHULHUDHOO,530.0,568308.98,280.0,HIGH,0.966,Kan'duhulhudhoo,Gaafu Alifu,MV016010,619,AUTO-HIGH,YES,
HAA ALIF ATOLL,BAARAH,1091.0,1001359.4,738.0,HIGH,1.0,Baarah,Haa Alifu,MV001016,1141,AUTO-HIGH,YES,
ALIFU ALIFU ATOLL,THODDOO,1320.0,1941449.0,680.0,HIGH,1.0,Thoddoo,Alifu Alifu,MV008001,1924,AUTO-HIGH,YES,
MEEMU ATOLL,MULI,862.0,1230713.0,660.0,HIGH,1.0,Muli,Meemu,MV013005,949,AUTO-HIGH,YES,
MEEMU ATOLL,MULAH,1264.0,1407559.0,839.0,HIGH,1.0,Mulah,Meemu,MV013004,1426,AUTO-HIGH,YES,
MEEMU ATOLL,MADUVVARI,369.0,349378.0,226.0,HIGH,1.0,Maduvvari,Meemu,MV013009,318,AUTO-HIGH,YES,
MEEMU ATOLL,KOLHUFUSHI,748.0,998652.9,720.0,HIGH,1.0,Kolhufushi,Meemu,MV013007,793,AUTO-HIGH,YES,
MEEMU ATOLL,DHIGGARU,982.0,963173.0,550.0,HIGH,1.0,Dhiggaru,Meemu,MV013008,1099,AUTO-HIGH,YES,
VAAVU ATOLL,THINADHOO,132.0,705353.6,528.0,HIGH,1.0,Thinadhoo,Vaavu,MV010002,258,AUTO-HIGH,YES,
VAAVU ATOLL,RAKEEDHOO,84.0,112220.0,72.0,HIGH,1.0,Rakeedhoo,Vaavu,MV010005,76,AUTO-HIGH,YES,
VAAVU ATOLL,KEYODHOO,657.0,730591.4,456.0,HIGH,1.0,Keyodhoo,Vaavu,MV010004,641,AUTO-HIGH,YES,
VAAVU ATOLL,FULIDHOO,360.0,553516.07,439.0,HIGH,1.0,Fulidhoo,Vaavu,MV010001,400,AUTO-HIGH,YES,
VAAVU ATOLL,FELIDHOO,516.0,948879.7,574.0,HIGH,1.0,Felidhoo,Vaavu,MV010003,620,AUTO-HIGH,YES,
ALIFU ALIFU ATOLL,UKULHAS,918.0,1398331.0,737.0,HIGH,1.0,Ukulhas,Alifu Alifu,MV008003,1284,AUTO-HIGH,YES,
ALIFU ALIFU ATOLL,RASDHOO,1065.0,2497112.0,1218.0,HIGH,1.0,Rasdhoo,Alifu Alifu,MV008002,1282,AUTO-HIGH,YES,
ALIFU ALIFU ATOLL,MAALHOS,426.0,688311.0,476.0,HIGH,1.0,Maalhos,Alifu Alifu,MV008007,516,AUTO-HIGH,YES,
ALIFU ALIFU ATOLL,FERIDHOO,437.0,616826.6,444.0,HIGH,1.0,Feridhoo,Alifu Alifu,MV008006,544,AUTO-HIGH,YES,
ALIFU ALIFU ATOLL,BODUFOLHUDHOO,607.0,777816.0,416.0,HIGH,1.0,Bodufolhudhoo,Alifu Alifu,MV008005,704,AUTO-HIGH,YES,
KAAFU ATOLL,THULUSDHOO,1388.0,2881645.0,1160.0,HIGH,1.0,Thulusdhoo,Kaafu,MV009004,1801,AUTO-HIGH,YES,
KAAFU ATOLL,MAAFUSHI,2692.0,6881844.0,4079.0,HIGH,1.0,Maafushi,Kaafu,MV009008,4471,AUTO-HIGH,YES,
KAAFU ATOLL,KAASHIDHOO,1865.0,2152039.0,1200.0,HIGH,1.0,Kaashidhoo,Kaafu,MV009001,2528,AUTO-HIGH,YES,
MEEMU ATOLL,NAALAAFUSHI,426.0,1164550.0,188.0,HIGH,1.0,Naalaafushi,Meemu,MV013006,430,AUTO-HIGH,YES,
MEEMU ATOLL,VEYVAH,254.0,723573.1,138.0,HIGH,1.0,Veyvah,Meemu,MV013003,304,AUTO-HIGH,YES,
KAAFU ATOLL,GAAFARU,1061.0,1390667.0,860.0,HIGH,1.0,Gaafaru,Kaafu,MV009002,1294,AUTO-HIGH,YES,
LAAMU ATOLL,MUNDOO,236.0,258291.05,170.0,HIGH,1.0,Mundoo,Laamu,MV015004,176,AUTO-HIGH,YES,
GNAVIYANI ATOLL,FUVAHMULAH,8579.0,12266845.0,3800.0,HIGH,1.0,Fuvahmulah,Gnaviyani,MV018001,9177,AUTO-HIGH,YES,
GAAFU ALIF ATOLL,NILANDHOO,592.0,742461.9,770.0,HIGH,1.0,Nilandhoo,Gaafu Alifu,MV016004,545,AUTO-HIGH,YES,
GAAFU ALIF ATOLL,MAAMENDHOO,1138.0,1159781.0,610.0,HIGH,1.0,Maamendhoo,Gaafu Alifu,MV016003,1201,AUTO-HIGH,YES,
GAAFU ALIF ATOLL,KOLAMAAFUSHI,979.0,1183376.0,670.0,HIGH,1.0,Kolamaafushi,Gaafu Alifu,MV016001,636,AUTO-HIGH,YES,
GAAFU ALIF ATOLL,GEMANAFUSHI,1233.0,1428247.31,760.0,HIGH,1.0,Gemanafushi,Gaafu Alifu,MV016009,1318,AUTO-HIGH,YES,
GAAFU ALIF ATOLL,DHEVVADHOO,597.0,588310.2,452.0,HIGH,1.0,Dhevvadhoo,Gaafu Alifu,MV016006,599,AUTO-HIGH,YES,
GAAFU ALIF ATOLL,DHAANDHOO,1106.0,1297058.0,1071.0,HIGH,1.0,Dhaandhoo,Gaafu Alifu,MV016005,1044,AUTO-HIGH,YES,
LAAMU ATOLL,MAAVAH,1270.0,1788154.08,650.0,HIGH,1.0,Maavah,Laamu,MV015007,1379,AUTO-HIGH,YES,
FAAFU ATOLL,BILEIYDHOO,767.0,860277.0,352.0,HIGH,1.0,Bileiydhoo,Faafu,MV011002,967,AUTO-HIGH,YES,
LAAMU ATOLL,MAAMENDHOO,898.0,765662.65,740.0,HIGH,1.0,Maamendhoo,Laamu,MV015010,879,AUTO-HIGH,YES,
LAAMU ATOLL,MAABAIDHOO,650.0,1043301.3,480.0,HIGH,1.0,Maabaidhoo,Laamu,MV015003,565,AUTO-HIGH,YES,
LAAMU ATOLL,HITHADHOO,1011.0,773619.95,760.0,HIGH,1.0,Hithadhoo,Laamu,MV015011,1108,AUTO-HIGH,YES,
LAAMU ATOLL,GAN,3543.0,5864001.73,4180.0,HIGH,1.0,Gan,Laamu,MV015013,4815,AUTO-HIGH,YES,
LAAMU ATOLL,FONADHOO,2203.0,4226395.89,1960.0,HIGH,1.0,Fonadhoo,Laamu,MV015008,2986,AUTO-HIGH,YES,
FAAFU ATOLL,NILANDHOO,1658.0,2737970.0,1000.0,HIGH,1.0,Nilandhoo,Faafu,MV011005,1823,AUTO-HIGH,YES,
FAAFU ATOLL,MAGOODHOO,562.0,728604.0,536.0,HIGH,1.0,Magoodhoo,Faafu,MV011003,702,AUTO-HIGH,YES,
FAAFU ATOLL,FEEALI,864.0,974936.0,594.0,HIGH,1.0,Feeali,Faafu,MV011001,922,AUTO-HIGH,YES,
KAAFU ATOLL,GULHI,893.0,1098089.0,792.0,HIGH,1.0,Gulhi,Kaafu,MV009007,976,AUTO-HIGH,YES,
KAAFU ATOLL,GURAIDHOO,1605.0,2645625.33,1350.0,HIGH,1.0,Guraidhoo,Kaafu,MV009009,1743,AUTO-HIGH,YES,
KAAFU ATOLL,DHIFFUSHI,1024.0,1562538.0,664.0,HIGH,1.0,Dhiffushi,Kaafu,MV009003,1270,AUTO-HIGH,YES,
NOONU ATOLL,HOLHUDHOO,1682.0,1902331.65,670.0,HIGH,1.0,Holhudhoo,Noonu,MV004011,1428,AUTO-HIGH,YES,
RAA ATOLL,DHUVAAFARU,3018.0,2653346.0,1968.0,HIGH,1.0,Dhuvaafaru,Raa,MV006019,3321,AUTO-HIGH,YES,
BAA ATOLL,THULHAADHOO,1505.0,1827069.3,700.0,HIGH,1.0,Thulhaadhoo,Baa,MV007009,1625,AUTO-HIGH,YES,
NOONU ATOLL,VELIDHOO,1987.0,2529937.01,1110.0,HIGH,1.0,Velidhoo,Noonu,MV004013,1832,AUTO-HIGH,YES,
NOONU ATOLL,MILADHOO,809.0,835951.1,380.0,HIGH,1.0,Miladhoo,Noonu,MV004008,934,AUTO-HIGH,YES,
NOONU ATOLL,MANADHOO,1408.0,3707973.58,760.0,HIGH,1.0,Manadhoo,Noonu,MV004010,1745,AUTO-HIGH,YES,
NOONU ATOLL,MAAFARU,616.0,1202069.1,300.0,HIGH,1.0,Maafaru,Noonu,MV004006,919,AUTO-HIGH,YES,
NOONU ATOLL,LHOHI,611.0,512717.52,2336.0,HIGH,1.0,Lhohi,Noonu,MV004007,692,AUTO-HIGH,YES,
NOONU ATOLL,LANDHOO,668.0,816983.34,305.0,HIGH,1.0,Landhoo,Noonu,MV004005,757,AUTO-HIGH,YES,
NOONU ATOLL,KUDAFARI,480.0,551599.8,298.0,HIGH,1.0,Kudafari,Noonu,MV004004,628,AUTO-HIGH,YES,
HAA ALIF ATOLL,VASHAFARU,449.0,464752.8,320.0,HIGH,1.0,Vashafaru,Haa Alifu,MV001009,476,AUTO-HIGH,YES,
RAA ATOLL,HULHUDHUFFAARU,1137.0,1219160.6,620.0,HIGH,1.0,Hulhudhuffaaru,Raa,MV006005,1228,AUTO-HIGH,YES,
HAA ALIF ATOLL,UTHEEMU,593.0,633476.15,560.0,HIGH,1.0,Utheemu,Haa Alifu,MV001014,612,AUTO-HIGH,YES,
HAA ALIF ATOLL,ULIGAMU,380.0,435818.1,337.0,HIGH,1.0,Uligamu,Haa Alifu,MV001002,400,AUTO-HIGH,YES,
HAA ALIF ATOLL,THURAAKUNU,417.0,479569.0,348.0,HIGH,1.0,Thuraakunu,Haa Alifu,MV001001,427,AUTO-HIGH,YES,
HAA ALIF ATOLL,THAKANDHOO,355.0,610954.79,308.0,HIGH,1.0,Thakandhoo,Haa Alifu,MV001013,279,AUTO-HIGH,YES,
HAA ALIF ATOLL,MURAIDHOO,464.0,411432.0,270.0,HIGH,1.0,Muraidhoo,Haa Alifu,MV001015,534,AUTO-HIGH,YES,
HAA ALIF ATOLL,MULHADHOO,231.0,291935.0,168.0,HIGH,1.0,Mulhadhoo,Haa Alifu,MV001005,286,AUTO-HIGH,YES,
HAA ALIF ATOLL,MAARANDHOO,668.0,577166.6,250.0,HIGH,1.0,Maarandhoo,Haa Alifu,MV001012,668,AUTO-HIGH,YES,
HAA ALIF ATOLL,KELAA,1063.0,1233469.4,636.0,HIGH,1.0,Kelaa,Haa Alifu,MV001008,1115,AUTO-HIGH,YES,
HAA ALIF ATOLL,IHAVANDHOO,2554.0,2754607.24,1200.0,HIGH,1.0,Ihavandhoo,Haa Alifu,MV001007,2873,AUTO-HIGH,YES,
HAA ALIF ATOLL,FILLADHOO,576.0,548838.0,300.0,HIGH,1.0,Filladhoo,Haa Alifu,MV001011,559,AUTO-HIGH,YES,
RAA ATOLL,FAINU,322.0,659543.42,367.0,HIGH,1.0,Fainu,Raa,MV006013,423,AUTO-HIGH,YES,
RAA ATOLL,ALIFUSHI,1808.0,1667458.0,1000.0,HIGH,1.0,Alifushi,Raa,MV006001,1859,AUTO-HIGH,YES,
RAA ATOLL,INNAMAADHOO,570.0,1378015.5,603.0,HIGH,1.0,Innamaadhoo,Raa,MV006010,663,AUTO-HIGH,YES,
BAA ATOLL,MAALHOS,485.0,717112.6,536.0,HIGH,1.0,Maalhos,Baa,MV007007,572,AUTO-HIGH,YES,
BAA ATOLL,KUDARIKILU,429.0,493194.4,260.0,HIGH,1.0,Kudarikilu,Baa,MV007001,557,AUTO-HIGH,YES,
BAA ATOLL,KIHAADHOO,364.0,378672.9,258.0,HIGH,1.0,Kihaadhoo,Baa,MV007004,481,AUTO-HIGH,YES,
BAA ATOLL,KENDHOO,868.0,975985.3,571.0,HIGH,1.0,Kendhoo,Baa,MV007003,1002,AUTO-HIGH,YES,
BAA ATOLL,KAMADHOO,471.0,677961.0,360.0,HIGH,1.0,Kamadhoo,Baa,MV007002,552,AUTO-HIGH,YES,
BAA ATOLL,HITHAADHOO,718.0,786926.6,406.0,HIGH,1.0,Hithaadhoo,Baa,MV007010,744,AUTO-HIGH,YES,
BAA ATOLL,GOIDHOO,548.0,742147.95,410.0,HIGH,1.0,Goidhoo,Baa,MV007013,583,AUTO-HIGH,YES,
BAA ATOLL,FULHADHOO,220.0,270131.65,160.0,HIGH,1.0,Fulhadhoo,Baa,MV007011,341,AUTO-HIGH,YES,
BAA ATOLL,FEHENDHOO,107.0,216846.2,80.0,HIGH,1.0,Fehendhoo,Baa,MV007012,198,AUTO-HIGH,YES,
BAA ATOLL,EYDHAFUSHI,2626.0,5035445.1,2100.0,HIGH,1.0,Eydhafushi,Baa,MV007008,2581,AUTO-HIGH,YES,
BAA ATOLL,DHONFANU,369.0,359393.3,128.0,HIGH,1.0,Dhonfanu,Baa,MV007005,398,AUTO-HIGH,YES,
RAA ATOLL,MADUVVARI,1479.0,1473942.0,538.0,HIGH,1.0,Maduvvari,Raa,MV006011,1760,AUTO-HIGH,YES,
BAA ATOLL,DHARAVANDHOO,839.0,1646570.84,700.0,HIGH,1.0,Dharavandhoo,Baa,MV007006,997,AUTO-HIGH,YES,
RAA ATOLL,KINOLHAS,473.0,376912.65,289.0,HIGH,1.0,Kinolhas,Raa,MV006015,543,AUTO-HIGH,YES,
RAA ATOLL,MAAKURATHU,801.0,670226.55,320.0,HIGH,1.0,Maakurathu,Raa,MV006008,956,AUTO-HIGH,YES,
RAA ATOLL,VAADHOO,397.0,419946.0,304.0,HIGH,1.0,Vaadhoo,Raa,MV006002,452,AUTO-HIGH,YES,
RAA ATOLL,RASMAADHOO,512.0,508160.2,308.0,HIGH,1.0,Rasmaadhoo,Raa,MV006009,554,AUTO-HIGH,YES,
RAA ATOLL,RASGETHEEMU,509.0,556964.0,420.0,HIGH,1.0,Rasgetheemu,Raa,MV006003,537,AUTO-HIGH,YES,
RAA ATOLL,MEEDHOO,1661.0,1707700.8,700.0,HIGH,1.0,Meedhoo,Raa,MV006014,1872,AUTO-HIGH,YES,
LAAMU ATOLL,KUNAHANDHOO,657.0,490755.4,560.0,HIGH,1.0,Kunahandhoo,Laamu,MV015012,601,AUTO-HIGH,YES,
KAAFU ATOLL,HURAA,1142.0,0.0,910.0,HIGH,1.0,Huraa,Kaafu,MV009005,1654,AUTO-HIGH,YES,
ALIFU ALIFU ATOLL,MATHIVERI,578.0,1088674.0,920.0,HIGH,1.0,Mathiveri,Alifu Alifu,MV008004,878,AUTO-HIGH,YES,
LAAMU ATOLL,ISDHOO,944.0,797785.69,940.0,HIGH,1.0,Isdhoo,Laamu,MV015001,929,AUTO-HIGH,YES,
NOONU ATOLL,MAGOODHOO,258.0,639123.0,78.0,HIGH,1.0,Magoodhoo,Noonu,MV004009,305,AUTO-HIGH,YES,
NOONU ATOLL,MAALHENDHOO,667.0,577183.95,408.0,HIGH,1.0,Maalhendhoo,Noonu,MV004003,724,AUTO-HIGH,YES,
