Atoll,Island,Population,Area_km2,Distance_from_Male_km,Nearest_Airport,Electricity_Provider,Maximum_Peak_Load_kW,Total_Installed_Capacity_kW,Total_Generator_Sets_kW,Yearly_Electricity_Production_kWh,Yearly_Billed_Amount_kW,Yearly_Oil_Consumption_Liters,Lube_Oil_Consumption_L_per_year,Solar_PV_Installed_kW,Solar_PV_Production_kWh,Synchronizing_Panel,Synchronizing_Panel_Type,Electricity_Cable_Installed_Year,Distribution_Cable_Size_mm2,CO2_Emissions_tCO2
HAA ALIF ATOLL,BAARAH,1091.0,2.6,294.7,Hanimaadhoo International Airport,FENAKA,211.0,738.0,"68,120,250,300",1001359.4,86486.0,340042.0,1857.2,,-,Yes,Auto,2008.0,"35, 50, 70, 95",905.33
ALIFU ALIFU ATOLL,THODDOO,1320.0,1.726,67.8,Velana International Airport,STELCO,451.0,680.0,"120, 176, 264, 120",1941449.0,178682.0,612304.0,1653.5,,-,Yes,Auto,2007.0,"CO2 emission  (tCO2) 1,630.20",1.0
MEEMU ATOLL,MULI,862.0,0.4,140.9,Kudahuvadhoo Airport,FENAKA,380.0,660.0,"160, 250, 250",1230713.0,121105.0,438206.3,1637.0,,-,Yes,Manual,2009.0,"CO2 emission  (tCO2) 1,166.68",1.0
MEEMU ATOLL,MULAH,1264.0,0.7,137.2,Kudahuvadhoo Airport,FENAKA,270.0,839.0,"225, 250, 364",1407559.0,116403.0,437302.0,1703.0,,-,Yes,Auto,2009.0,"CO2 emission  (tCO2) 1,164.27",1.0
MEEMU ATOLL,MADUVVARI,369.0,0.1,118.7,Maamigili Airport,FENAKA,83.0,226.0,"34, 40, 48, 104",349378.0,30115.0,125782.0,1078.0,,-,Yes,Auto,2017.0,CO2 emission  (tCO2) 334.88,334.88
MEEMU ATOLL,KOLHUFUSHI,748.0,0.9,157.6,Kudahuvadhoo Airport,FENAKA,206.0,720.0,"160, 280, 280",998652.9,82390.0,317221.0,765.0,,-,Yes,Auto,2014.0,CO2 emission  (tCO2) 844.57,844.57
MEEMU ATOLL,DHIGGARU,982.0,0.1,118.7,Maamigili Airport,FENAKA,212.0,550.0,"140, 160, 250",963173.0,117599.0,362237.0,1107.5,,-,Yes,Auto,2008.0,CO2 emission  (tCO2) 964.42,964.42
VAAVU ATOLL,THINADHOO,132.0,0.116,77.8,Maamigili Airport,STELCO,208.0,528.0,72,705353.6,70829.0,201437.0,1111.0,,-,No,-,2012.0,CO2 emission  (tCO2) 536.31,536.31
VAAVU ATOLL,RAKEEDHOO,84.0,0.063,96.5,Maamigili Airport,STELCO,39.0,72.0,72,112220.0,14744.0,52348.0,267.0,,33613.32,No,-,2008.0,CO2 emission  (tCO2) 139.37,139.37
VAAVU ATOLL,KEYODHOO,657.0,0.118,79.6,Maamigili Airport,STELCO,134.0,456.0,"120, 153, 183",730591.4,67399.0,219985.0,1137.0,,-,Yes,Auto,2007.0,CO2 emission  (tCO2) 585.69,585.69
VAAVU ATOLL,FULIDHOO,360.0,0.121,56.7,Velana International Airport,STELCO,158.0,439.0,"100, 160, 179",553516.07,52443.0,195350.0,808.0,,-,No,-,2010.0,CO2 emission  (tCO2) 520.10,520.1
VAAVU ATOLL,FELIDHOO,516.0,0.144,79.6,Maamigili Airport,STELCO,190.0,574.0,"150, 120, 304",948879.7,79067.0,286613.0,1041.5,,-,No,-,2004.0,CO2 emission  (tCO2) 763.08,763.08
ALIFU ALIFU ATOLL,UKULHAS,918.0,0.213,72.0,Maamigili Airport,STELCO,286.0,737.0,"112, 300, 325",1398331.0,124640.0,398807.0,1699.95,,22825,Yes,Manual,2002.0,"CO2 emission  (tCO2) 1,061.78",1.0
ALIFU ALIFU ATOLL,RASDHOO,1065.0,0.201,58.0,Velana International Airport,STELCO,495.0,1218.0,"440, 250, 528",2497112.0,322780.0,669768.0,1697.0,,-,Yes,Manual,2002.0,"CO2 emission  (tCO2) 1,783.19",1.0
MEEMU ATOLL,RAIMANDHOO,113.0,0.3,121.1,Kudahuvadhoo Airport,FENAKA,50.0,113.0,"48, 65",160467.0,99585.5,67280.0,423.5,,-,No,-,2013.0,CO2 emission  (tCO2) 179.13,179.13
ALIFU ALIFU ATOLL,MAALHOS,426.0,0.319,91.5,Maamigili Airport,STELCO,124.0,476.0,"80, 176, 140, 80",688311.0,70790.0,199378.0,820.0,,-,Yes,Auto,1989.0,CO2 emission  (tCO2) 530.82,530.82
ALIFU ALIFU ATOLL,HIMANDHOO,703.0,0.231,90.0,Maamigili Airport,STELCO,212.0,612.0,"112, 160, 220, 120",897851.0,80213.0,273920.0,857.5,,-,Yes,Auto,2005.0,CO2 emission  (tCO2) 729.28,729.28
ALIFU ALIFU ATOLL,FERIDHOO,437.0,0.442,89.8,Maamigili Airport,STELCO,135.0,444.0,"128, 140, 176",616826.6,50268.0,186001.0,728.0,,-,No,0,2006.0,CO2 emission  (tCO2) 495.21,495.21
ALIFU ALIFU ATOLL,BODUFOLHUDHOO,607.0,0.087,81.3,Maamigili Airport,STELCO,180.0,416.0,"112, 128, 176",777816.0,69743.0,236597.09,835.75,,-,Yes,Auto,2001.0,CO2 emission  (tCO2) 629.92,629.92
KAAFU ATOLL,VILLIMAL,7790.0,0.3,3.7,Velana International Airport,STELCO,2031.0,4000.0,"1000, 1000, 1000, 1000",12499400.0,1100998.0,3458394.97,12992.0,,332960.7,Yes,Auto,1997.0,"CO2 emission  (tCO2) 9,207.63",9.0
KAAFU ATOLL,THULUSDHOO,1388.0,0.4,26.7,Velana International Airport,STELCO,636.0,1160.0,"200, 200, 320, 440",2881645.0,252495.0,807482.91,2041.0,,79566,Yes,Auto,1995.0,"CO2 emission  (tCO2) 2,149.84",2.0
KAAFU ATOLL,MAL,127079.0,1.9,0.0,Velana International Airport,STELCO,56048.0,80320.0,1000,336961612.0,27772229.0,86055128.0,273114.0,,911325,Yes,Auto,1949.0,"CO2 emission  (tCO2) 229,113.17",229.0
KAAFU ATOLL,MAAFUSHI,2692.0,0.4,26.1,Velana International Airport,STELCO,1389.0,4079.0,"590, 889, 1000, 1600",6881844.0,629814.0,1878223.0,8443.0,,179223,Yes,Auto,1997.0,120,5.0
KAAFU ATOLL,KAASHIDHOO,1865.0,2.8,85.4,Dharavandhoo Airport,STELCO,339.0,1200.0,"160, 200, 250, 590",2152039.0,189536.0,616960.0,2653.0,,41519,Yes,Manual,2000.0,120,1.0
KAAFU ATOLL,HIMMAFUSHI,1308.0,0.3,15.7,Velana International Airport,STELCO,540.0,1240.0,"200, 200, 250, 590",2598215.0,0.0,770166.0,3433.0,,5673,Yes,Auto,2001.0,"CO2 emission  (tCO2) 2,050.49",2.0
HAA ALIF ATOLL,DHIDHDHOO,2745.0,0.6,305.0,Hanimaadhoo International Airport,FENAKA,816.0,1508.0,"400,508,600",3932436.15,350169.0,1122922.0,4925.0,,-,Yes,Manual,2003.0,500,2.0
MEEMU ATOLL,NAALAAFUSHI,426.0,0.1,144.6,Kudahuvadhoo Airport,FENAKA,74.0,188.0,"80, 108",1164550.0,82390.0,157322.0,1043.0,,-,No,-,2005.0,CO2 emission  (tCO2) 418.85,418.85
MEEMU ATOLL,VEYVAH,254.0,0.4,137.4,Thimarafushi Airport,FENAKA,59.0,138.0,"58, 80",723573.1,75855.0,95086.0,502.0,,-,No,-,1995.0,CO2 emission  (tCO2) 253.16,253.16
KAAFU ATOLL,GAAFARU,1061.0,0.2,61.1,Velana International Airport,STELCO,301.0,860.0,"160, 300, 400",1390667.0,122670.0,394777.0,1213.0,,-,Yes,Auto,2016.0,"CO2 emission  (tCO2) 1,051.05",1.0
LAAMU ATOLL,MUNDOO,236.0,0.3,240.8,Kadhdhoo Aiport,FENAKA,93.0,170.0,"75, 95",258291.05,0.0,109919.0,1121.5,,-,No,-,2005.0,CO2 emission  (tCO2) 292.65,292.65
SEENU ATOLL,ADDU,17935.0,8.0,535.6,Gan International Airport,FENAKA,5870.0,9850.0,750,33076784.25,2725986.0,8914940.0,34605.0,,-,Yes,Auto,1998.0,"CO2 emission  (tCO2) 23,735.14",23.0
GNAVIYANI ATOLL,FUVAHMULAH,8579.0,4.9,496.5,Fuvamulah Airport,FENAKA,2270.0,3800.0,"600, 1000, 1000, 1200",12266845.0,997657.0,3382769.44,12908.0,,-,Yes,Auto,1991.0,-,9.0
GAAFU ALIF ATOLL,VILIN’GILI,2900.0,0.6,381.7,Kooddoo Airport,FENAKA,965.0,2238.0,"550, 800, 888",4665592.0,379602.0,1334447.0,6437.0,,-,Yes,Auto,1996.0,"CO2 emission  (tCO2) 3,552.83",3.0
GAAFU ALIF ATOLL,NILANDHOO,592.0,0.6,394.5,Kooddoo Airport,FENAKA,150.0,770.0,"160, 160, 200, 250",742461.9,63061.0,245285.0,1548.0,,-,Yes,Auto,1998.0,CO2 emission  (tCO2) 653.05,653.05
GAAFU ALIF ATOLL,MAAMENDHOO,1138.0,0.5,385.4,Kooddoo Airport,FENAKA,225.0,610.0,"160, 200, 250",1159781.0,92061.0,413058.0,2684.7,,-,Yes,Auto,2000.0,"CO2 emission  (tCO2) 1,099.73",1.0
GAAFU ALIF ATOLL,KOLAMAAFUSHI,979.0,0.3,374.1,Kooddoo Airport,FENAKA,248.0,670.0,"190, 200, 280",1183376.0,102232.0,369400.0,1925.5,,-,Yes,Auto,2008.0,CO2 emission  (tCO2) 983.49,983.49
GAAFU ALIF ATOLL,KON’DEY,220.0,1.2,409.3,Kooddoo Airport,FENAKA,72.0,248.0,"68, 80, 100",351286.05,28490.0,127945.06,996.0,,-,Yes,Manual,2002.0,CO2 emission  (tCO2) 340.64,340.64
GAAFU ALIF ATOLL,KAN’DUHULHUDHOO,530.0,0.3,426.0,Kooddoo Airport,FENAKA,122.0,280.0,"80, 80, 120",568308.98,47487.96,200495.0,1507.0,,-,Yes,Auto,2001.0,CO2 emission  (tCO2) 533.80,533.8
GAAFU ALIF ATOLL,GEMANAFUSHI,1233.0,1.0,414.8,Kooddoo Airport,FENAKA,285.0,760.0,"360, 400",1428247.31,124979.18,449042.0,1743.0,,-,Yes,Auto,2001.0,"CO2 emission  (tCO2) 1,195.53",1.0
GAAFU ALIF ATOLL,DHEVVADHOO,597.0,0.2,403.0,Kaadedhdhoo Aiport,FENAKA,131.0,452.0,"112, 160, 180",588310.2,49808.0,178210.0,1030.0,,-,Yes,Auto,1998.0,CO2 emission  (tCO2) 474.47,474.47
GAAFU ALIF ATOLL,DHAANDHOO,1106.0,0.2,396.3,Kooddoo Airport,FENAKA,325.0,1071.0,"311, 360, 400",1297058.0,103791.0,417733.0,2552.0,,-,No,-,2000.0,"CO2 emission  (tCO2) 1,112.17",1.0
LAAMU ATOLL,MAAVAH,1270.0,0.4,257.4,Kadhdhoo Aiport,FENAKA,418.0,650.0,"250, 400",1788154.08,0.0,530369.0,1967.8,,-,Yes,Auto,2017.0,"CO2 emission  (tCO2) 1,412.05",1.0
FAAFU ATOLL,BILEIYDHOO,767.0,0.3,132.4,Maamigili Airport,FENAKA,234.0,352.0,"80, 112, 160",860277.0,81399.0,337405.0,1198.0,,-,Yes,Auto,1997.0,CO2 emission  (tCO2) 898.31,898.31
LAAMU ATOLL,MAAMENDHOO,898.0,0.2,263.4,Kadhdhoo Aiport,FENAKA,196.0,740.0,"160, 180 400",765662.65,0.0,298700.2,1229.0,,-,Yes,Auto,1999.0,CO2 emission  (tCO2) 795.26,795.26
LAAMU ATOLL,MAABAIDHOO,650.0,0.5,238.9,Kadhdhoo Aiport,FENAKA,172.0,480.0,"150, 250, 80",1043301.3,0.0,354069.0,867.0,,-,Yes,Manual,2006.0,CO2 emission  (tCO2) 942.67,942.67
LAAMU ATOLL,KALHAIDHOO,467.0,3.6,229.6,Kadhdhoo Aiport,FENAKA,125.0,260.0,"100, 160",814721.96,0.0,198510.0,320.0,,-,No,-,2006.0,CO2 emission  (tCO2) 528.51,528.51
LAAMU ATOLL,HITHADHOO,1011.0,1.1,265.2,Kadhdhoo Aiport,FENAKA,145.0,760.0,"150, 180 180, 250",773619.95,0.0,251095.0,968.0,,-,No,-,2006.0,CO2 emission  (tCO2) 668.52,668.52
LAAMU ATOLL,GAN,3543.0,6.2,251.9,Kadhdhoo Aiport,FENAKA,543.0,4180.0,150,5864001.73,514575.12,1923676.0,7711.0,,-,Yes,Auto,2001.0,"CO2 emission  (tCO2) 5,121.59",5.0
LAAMU ATOLL,FONADHOO,2203.0,1.6,261.1,Kadhdhoo Aiport,FENAKA,192.0,1960.0,"360, 600, 1000",4226395.89,343109.0,1457263.0,3858.0,,-,Yes,Auto,2005.0,"CO2 emission  (tCO2) 3,879.82",3.0
LAAMU ATOLL,DHAN’BIDHOO,569.0,0.6,231.5,Kadhdhoo Aiport,FENAKA,400.0,400.0,"80, 160",621794.42,53817.0,203295.0,725.5,,-,No,-,2006.0,CO2 emission  (tCO2) 541.25,541.25
FAAFU ATOLL,NILANDHOO,1658.0,0.6,144.3,Kudahuvadhoo Airport,ISLAND COMMUNITY,290.0,1000.0,"500, 500",2737970.0,213256.0,790853.0,1700.0,,-,Yes,Auto,2006.0,"CO2 emission  (tCO2) 2,105.57",2.0
FAAFU ATOLL,MAGOODHOO,562.0,0.2,136.7,Maamigili Airport,FENAKA,173.0,536.0,"84, 112, 160, 180",728604.0,65379.0,246695.0,985.0,,-,Yes,Manual,1997.0,CO2 emission  (tCO2) 656.80,656.8
FAAFU ATOLL,FEEALI,864.0,0.1,116.1,Maamigili Airport,FENAKA,188.0,594.0,"128, 166, 300",974936.0,78383.0,359100.0,1447.0,,-,Yes,Manual,1993.0,CO2 emission  (tCO2) 956.07,956.07
FAAFU ATOLL,DHARAN’ BOODHOO,403.0,0.4,140.0,Maamigili Airport,FENAKA,83.0,144.0,"80, 64",316202.0,30725.0,115220.0,439.0,,-,Yes,Manual,1998.0,CO2 emission  (tCO2) 306.76,306.76
KAAFU ATOLL,GULHI,893.0,0.1,22.2,Velana International Airport,STELCO,240.0,792.0,"128, 400, 264",1098089.0,95979.0,325878.0,1119.0,,-,Yes,Manual,2004.0,CO2 emission  (tCO2) 867.62,867.62
